latitude,longitude,stateName,countyName,height_above_gnd
27.265787,-82.551233,FL,Sarasota County,0
27.113984,-82.465796,FL,Sarasota County,0
29.286538,-81.054583,FL,Volusia County,0.05
29.28666667,-81.05463889,FL,Volusia County,0.76
28.623731,-80.795234,FL,Brevard County,0
29.55924,-81.17557,FL,Flagler County,0
29.55923,-81.17546,FL,Flagler County,0
30.510532,-81.459583,FL,Duval County,0
30.510451,-81.45958,FL,Duval County,0
26.282738,-81.802149,FL,Collier County,5.5
38.363146,-75.60698,MD,Wicomico County,0
38.79049,-75.250603,DE,Sussex County,0
29.031574,-80.916203,FL,Volusia County,0
29.03202,-80.91635,FL,Volusia County,0
26.6469,-81.8681,FL,Lee County,0
26.6469,-81.8681,FL,Lee County,0
26.6469,-81.8681,FL,Lee County,0
26.14169,-81.790161,FL,Collier County,7.14
26.141696,-81.790321,FL,Collier County,7.12
29.762549,-81.253547,FL,St. Johns County,6.89
29.762309,-81.252702,FL,St. Johns County,6.63
26.131748,-81.804749,FL,Collier County,0
26.131713,-81.804727,FL,Collier County,0
30.419133,-81.420243,FL,Duval County,0
26.48725,-81.94233,FL,Lee County,0.65
37.127509,-75.95017,VA,Northampton County,0
30.324502,-81.434915,FL,Duval County,0.27
26.48673,-81.935522,FL,Lee County,1.59
26.481,-81.936205,FL,Lee County,2.96
26.4803,-81.94887,FL,Lee County,6.06
26.47892,-81.95111,FL,Lee County,6.75
38.77762,-75.14064,DE,Sussex County,0
26.468225,-81.95072,FL,Lee County,0.23
28.264004,-81.451543,FL,Osceola County,2.21
28.265454,-81.447424,FL,Osceola County,2.78
28.264087,-81.444011,FL,Osceola County,1.4
28.259778,-81.448832,FL,Osceola County,3.29
28.263917,-81.440964,FL,Osceola County,0.67
26.940595,-82.05087,FL,Charlotte County,0
28.259778,-81.448832,FL,Osceola County,3.63
26.3653,-81.808,FL,Lee County,1
26.3648,-81.808,FL,Lee County,2.1
28.266401,-81.436747,FL,Osceola County,1.1
28.265238,-81.425411,FL,Osceola County,6.88
28.26415,-81.429368,FL,Osceola County,0.59
28.266794,-81.415557,FL,Osceola County,0.88
28.266794,-81.415557,FL,Osceola County,0.21
28.26404,-81.420928,FL,Osceola County,1.97
28.260756,-81.417608,FL,Osceola County,0.34
28.260756,-81.417608,FL,Osceola County,0.49
26.489892,-81.964365,FL,Lee County,2.07
26.495629,-81.977315,FL,Lee County,6.29
26.631472,-82.06856,FL,Lee County,3.6
26.508522,-81.980038,FL,Lee County,2.49
26.54259,-81.950996,FL,Lee County,0.4
26.518766,-81.965689,FL,Lee County,1.02
26.511354,-82.081096,FL,Lee County,0.66
28.304114,-81.395521,FL,Osceola County,0.43
28.304114,-81.395521,FL,Osceola County,0.45
26.347299,-81.7801,FL,Lee County,2.1
25.948957,-81.743,FL,Collier County,1.84
26.505736,-81.958406,FL,Lee County,1.6
25.948499,-81.743353,FL,Collier County,3.87
26.504282,-82.08269,FL,Lee County,1.85
26.439,-82.063,FL,Lee County,6.11
28.295539,-81.388922,FL,Osceola County,0
26.500623,-81.967515,FL,Lee County,4.22
26.498427,-82.076022,FL,Lee County,3.43
26.339381,-81.78339,FL,Lee County,0.93
28.291608,-81.385746,FL,Osceola County,0
26.338738,-81.790901,FL,Lee County,3.8
26.501279,-82.067384,FL,Lee County,4.11
26.342565,-81.786912,FL,Lee County,1.7
26.344094,-81.796394,FL,Lee County,3.25
26.496476,-82.08572,FL,Lee County,2.23
28.529708,-81.367453,FL,Orange County,1.32
26.338712,-81.796599,FL,Lee County,5.98
