latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
30.17611,-89.72722,30.17611,-89.72722,2021 Ida,Seed line,Excellent: +/- 0.05 ft,NAVD88,Total Station,,Not marked,Map (digital or paper),NAD83,John Storm,John Storm,LASTT23298,Rigolets at Hwy 90 at Rigolets Marina,,Gulf of Mexico,LA,St. Tammany Parish,,Yes,30.17611,-89.72722,40941,Rigolets,23298,312,5,1,Excellent seed line on inside of door of Radio tower shelter,9/2/2021 5:00:00 AM,6.06,2,5,Right,,8,,4,14418,,Coastal,9/2/2021 5:00:00 AM,1,2,1990,1990,,0.05,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.17611,-89.72722,30.17611,-89.72722,2021 Ida,Vegetation line,Poor: +/- 0.40 ft,NAVD88,Total Station,,Not marked,Map (digital or paper),NAD83,John Storm,John Storm,LASTT23298,Rigolets at Hwy 90 at Rigolets Marina,,Gulf of Mexico,LA,St. Tammany Parish,,Yes,30.17611,-89.72722,40942,Rigolets,23298,312,4,4,Poor debris line on fence behind radio tower shelter,9/2/2021 5:00:00 AM,6.41,2,5,Right,,8,,4,14418,,Coastal,9/2/2021 5:00:00 AM,1,2,1990,1990,,0.4,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.335,-90.045,30.335,-90.045,2021 Ida,Seed line,Excellent: +/- 0.05 ft,NAVD88,Total Station,,Not marked,Map (digital or paper),NAD83,John Storm,John Storm,LASTT27187,at Fontainebleau State Park.,,Gulf of Mexico,LA,St. Tammany Parish,,Yes,30.335,-90.045,40944,Lake Pontchartrain,27187,312,5,1,Excellent seed line found in junction box on side of building near pier.  Fountainbleau State Park on North side of Lake Pontchartrain.,9/2/2021 5:00:00 AM,7.74,2,5,N/A,,8,,4,14422,storm surge sensor lost -- HWM is only surge elevation available,Riverine,9/2/2021 5:00:00 AM,1,2,1990,1990,,0.05,no_label,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.625875,-74.136354,40.625875,-74.136354,2021 Ida,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Ron Busciolano,Nail and HWM tag,Phone/Car GPS,WGS84 (from Digital Map),,Amy Simonson,NYRIC31255,"Barrett Ave., between Forest Ave. and Decker Ave., Elm Park, Staten Island",,,NY,Richmond County,,No,40.625875,-74.136354,40945,Flash flooding,31255,312,5,2,Seed line on wooden parking bumper next to entrance of Buck'N'Up Furniture Bed and Bath store.,9/10/2021 4:00:00 AM,25.3,2,6,N/A,24456,6,2.05,3,,HWM1 2.794 + 22.54 = 25.334 ft,Riverine,9/7/2021 4:00:00 AM,1,4,,900,0.1,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.625875,-74.136354,40.625875,-74.136354,2021 Ida,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Ron Busciolano,Marker,Phone/Car GPS,WGS84 (from Digital Map),,Amy Simonson,NYRIC31255,"Barrett Ave., between Forest Ave. and Decker Ave., Elm Park, Staten Island",,,NY,Richmond County,,No,40.625875,-74.136354,40946,Flash flooding,31255,312,5,2,Seed line on wall next to Stop and Shop grocery store loading dock. Continuous seed line for ~15 ft. HWM flagging is ink marker.,9/10/2021 4:00:00 AM,25.3,2,6,N/A,24457,4,3.92,3,,HWM2: 2.797 + 22.54 = 25.337 ft,Riverine,9/7/2021 4:00:00 AM,1,4,,900,0.1,,HWM-2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.816445,-73.823685,40.816445,-73.823685,2021 Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Ron Busciolano,Tape,Phone/Car GPS,WGS84 (from Digital Map),Amy Simonson,Amy Simonson,NYBRO31256,"Miles Ave., between Graff Ave. and Balcom Ave., Throgs Neck, Bronx",,,NY,Bronx County,,No,40.816445,-73.823685,40947,Flash flooding,31256,312,5,3,Seed line along driveway on chain-link fence perpendicular to Miles Ave.,9/27/2021 4:00:00 AM,10,2,6,N/A,24422,2,1.7,3,,Better mark,Riverine,9/7/2021 4:00:00 AM,1,4,900,900,0.1,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.7368776,-73.8460827,40.7368776,-73.8460827,2021 Ida,Debris,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Ron Busciolano,Tape,Phone/Car GPS,WGS84 (from Digital Map),Amy Simonson,Amy Simonson,NYQUE31258,"Intersection of 62nd Dr. and Grand Central Pkwy. service road, Forest Hills, Queens",,,NY,Queens County,,No,40.7368776,-73.8460827,40949,Flash flooding,31258,312,2,3,Horizontal debris line of pine needles and leaf debris along chain link fence.,9/7/2021 4:00:00 AM,12.4,2,6,N/A,24479,2,2.3,3,,Two orange flags placed on black chain link fence with green faux vegetation.,Riverine,9/7/2021 4:00:00 AM,0,4,900,900,0.1,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.628195,-74.133861,40.628195,-74.133861,2021 Ida,Seed line,Fair: +/- 0.20 ft,NAVD88,RT-GNSS,Ron Busciolano,Marker,Phone/Car GPS,WGS84 (from Digital Map),William Capurso,William Capurso,NYRIC31259,"Haughwout Ave., between Cortlandt St. and Dryden Ct., Elm Park,  Staten Island",,,NY,Richmond County,,No,40.628195,-74.133861,40950,Flash flooding,31259,312,5,3,Seed line on mailbox post.,9/10/2021 4:00:00 AM,19,2,6,N/A,24459,4,1.89,3,,HWM1: 1.779 + 17.17 = 18.949 ft,Riverine,9/7/2021 4:00:00 AM,0,4,509,509,0.1,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.630885,-74.13044,40.630885,-74.13044,2021 Ida,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Ron Busciolano,Marker,Phone/Car GPS,WGS84 (from Digital Map),William Capurso,William Capurso,NYRIC31260,"Intersection of Post Ave. and Jewett Ave., Port Richmond,  Staten Island",,,NY,Richmond County,,No,40.630885,-74.13044,40951,Flash flooding,31260,312,5,2,Seed line on garage of 274 Jewett Ave.,9/10/2021 4:00:00 AM,18.4,2,6,N/A,24458,4,2.55,3,,HWM1: 1.414 + 16.95 = 18.364 ft,Riverine,9/8/2021 4:00:00 AM,1,4,509,509,0.1,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
40.7375718,-73.8463788,40.7375718,-73.8463788,2021 Ida,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Ron Busciolano,Marker,Phone/Car GPS,WGS84 (from Digital Map),William Capurso,William Capurso,NYQUE31261,"Grand Central Pkwy. service road, between 62nd Dr. and Horace Harding Expy. service road, Forest Hills, Queens",,,NY,Queens County,,No,40.7375718,-73.8463788,40952,Flash flooding,31261,312,5,2,Seed line on building at first ground level balcony from southeast corner of Fairview building.,9/7/2021 4:00:00 AM,12.4,2,6,N/A,24481,4,4.87,3,,Marked with black sharpie.,Riverine,9/7/2021 4:00:00 AM,0,4,509,509,0.1,,HWM-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
