latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
31.170642,-81.428402,31.170642,-81.428402,2017 Irma,Debris,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Steve Harden,Not marked,Other (Note in Description box),NAD83,Daniel McCay,Daniel McCay,GAGLY17810,Wooden pier on way onto St. Simmons island. SSS-GA-GLY-011.,,,GA,Glynn County,,No,31.170642,-81.428402,22602,Intercostal,17810,182,2,4,Debris line near access road for dock next to causeway.,9/13/2017 4:00:00 AM,7.63,2,6,Right,7129,8,0,5,4886,,Coastal,9/13/2017 4:00:00 AM,1,2,1591,1591,0.034,,HWM,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
31.45385,-81.362853,31.45385,-81.362853,2017 Irma,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Steve Harden,Nail,Phone/Car GPS,NAD83,Skylar McHenry,Skylar McHenry,GAMCI17828,Sapelo Island Visitor Center,,,GA,Mcintosh County,,No,31.45385,-81.362853,22605,Doboy Sound,17828,182,5,2,Inside Sapelo Island Ferry Depot,9/13/2017 4:00:00 AM,8.82,2,6,N/A,7192,5,1.37,3,,,Coastal,9/13/2017 4:00:00 AM,0,2,1590,1590,0.028,0.1,HWM,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.72,-81.54944,30.72,-81.54944,2017 Irma,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Bradley Huffman,Nail and HWM tag,Phone/Car GPS,NAD83,Arthur Day,Arthur Day,GACAM17823,Cumberland Island Visitor Center,,,GA,Camden County,,No,30.72,-81.54944,22612,Unknown,17823,182,5,2,,9/13/2017 4:00:00 AM,5.76,2,6,N/A,6974,6,0.29,3,,"There is a secondary peak around 5.5 ft, so this HWM is probably associated with that second peak.",Coastal,9/13/2017 4:00:00 AM,0,2,1587,1587,0.016,,GACAM17823,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
32.00773,-81.23827,32.00773,-81.23827,2017 Irma,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Steve Harden,Nail,Phone/Car GPS,local control point,Chris Brown,Chris Brown,GACHA17852,Little Ogeechee River at Hwy 17 bridge. Also known as SSS-GA-CHT-020WL,,,GA,Chatham County,,No,32.00773,-81.23827,22636,Little Ogeechee,17852,182,5,2,On abutment of bridge at the site.,9/13/2017 4:00:00 AM,6.902,2,2,N/A,7059,5,1.51,3,,Trimble R8 used to establish TBM. Levels ran from TBM to HWM. Elevation found to be 6.822 ft. Post processing of Trimble R8 data on 09/13/2017 added a correction of 0.08 ft to TBM. This correction was applied to the found elevation of the HWM resulting in a final elevation of 6.902ft with an uncertainty of 0.0266 ft.,Riverine,9/13/2017 4:00:00 AM,0,1,1750,1750,0.0266,0.1,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
31.531078,-81.358894,31.531078,-81.358894,2017 Irma,Seed line,Poor: +/- 0.40 ft,NAVD88,RT-GNSS,Steve Harden,Not marked,Phone/Car GPS,NAD83,Skylar McHenry,Skylar McHenry,GAMCI17837,Graystone RD NE. SSS_GA_MCI_002,,,GA,Mcintosh County,,No,31.531078,-81.358894,22653,Blackbeard Creek,17837,182,5,4,Seed line on back to shed facing water in the yard to the north of boat ramp,9/13/2017 4:00:00 AM,8.741,2,6,N/A,7322,8,3.87,3,,,Coastal,9/13/2017 4:00:00 AM,0,2,1590,1590,0.04,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.745258,-81.599737,30.745258,-81.599737,2017 Irma,Seed line,Fair: +/- 0.20 ft,NAVD88,Tape measure,Steve Harden,Nail and HWM tag,Handheld GPS,NAD83,Arthur Day,Arthur Day,GACAM21130,Located of Isles of St. Mary's road in subdivision at wooden bridge over inlet.,,,GA,Camden County,,No,30.745258,-81.599737,22655,Unknown,21130,182,5,3,SEED LINE LOCATED AT WOODEN BRIDGE IN OSPREY COVE SUBDIVISION BELOW SSS.,9/13/2017 4:00:00 AM,6.04,2,1,Right,7226,6,3.34,1,,,Coastal,9/13/2017 4:00:00 AM,0,2,1587,1587,0.016,,GACAM21130,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
32.0309068,-80.9006052,32.0309068,-80.9006052,2017 Irma,Seed line,Good: +/- 0.10 ft,NAVD88,RT-GNSS,Paul Ankcorn,Marker,Phone/Car GPS,NAD83,Shelby Jolly,Shelby Jolly,GACHA21823,"High water mark near Fort Pulaski, on the way to Coast Guard. HWM on steel support girder of picnic shelter, flagged with orange tape and marked with sharpie.",,,GA,Chatham County,,No,32.0309068,-80.9006052,22674,River,21823,182,5,2,"High water mark on steel support girder of picnic shelter, flagged with orange tape and marked with sharpie. Marked was surveyed on 9/16/16 (GNSS) and adjusted by 0.103 ft.",9/16/2017 4:00:00 AM,8.312,2,6,N/A,7344,4,,3,5042,,Riverine,9/13/2017 4:00:00 AM,1,2,1823,1823,0.147,,hwm-1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
30.5105277777777,-81.4608333333333,30.5105277777777,-81.4608333333333,2017 Irma,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,Darrell Lambeth,Nail,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLDUV03108,Big Talbot Island State Park,,South Atlantic,FL,Duval County,0,Yes,30.5105277777777,-81.4608333333333,22757,Sawpit Creek,3108,182,2,4,1st midrail from top handrail ~100 ft east of RP 1 on wooden walkway.,9/13/2017 4:00:00 AM,6.544,2,2,N/A,5668,5,,4,,,Riverine,9/13/2017 4:00:00 AM,0,4,62,62,0.008,0.5,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
31.95769,-81.01062,31.95769,-81.01062,2017 Irma,Debris,Poor: +/- 0.40 ft,NAVD88,Level Gun,Steve Harden,Nail,Phone/Car GPS,NAD83,Chris Brown,Chris Brown,GACHA17861,Landing Harbor Marina,,,GA,Chatham County,,No,31.95769,-81.01062,22800,Wilmington River,17861,182,2,4,Located in a junction box at the Marina.,9/14/2017 4:00:00 AM,8.465,2,2,N/A,7071,5,1.69,3,,Trimble R8 used to set TBM. Levels ran from TBM to HWM. Elevation found to be 8.396ft. After GNSS post processing a correction of 0.069 was applied. New elevation 8.465 ft.,Coastal,9/14/2017 4:00:00 AM,0,2,1750,1750,0.096,0.4,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
31.889711,-81.061614,31.889711,-81.061614,2017 Irma,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Paul Ankcorn,Nail,Phone/Car GPS,NAD83,Chris Brown,Chris Brown,GACHA17866,Delegal Creek Marina,,,GA,Chatham County,,No,31.889711,-81.061614,22829,Unknown,17866,182,5,3,"HWM located inside of door at power box for marina. Taped down to bottom of dock, could not reach land surface.",9/14/2017 4:00:00 AM,8.37,2,2,N/A,7317,5,1.36,3,,Trimble R8 used to set up TBM. Levels ran from TBM to HWM. Elevation found to be 8.303 ft. After GNSS post processing a correction of 0.069 was applied. New elevation is 8.372 ft.,Coastal,9/14/2017 4:00:00 AM,0,2,1750,1750,0.097,0.2,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
