latitude_dd,longitude_dd,latitude,longitude,eventName,hwmTypeName,hwmQualityName,verticalDatumName,verticalMethodName,approvalMember,markerName,horizontalMethodName,horizontalDatumName,flagMemberName,surveyMemberName,site_no,siteDescription,sitePriorityName,networkNames,stateName,countyName,siteZone,sitePermHousing,site_latitude,site_longitude,hwm_id,waterbody,site_id,event_id,hwm_type_id,hwm_quality_id,hwm_locationdescription,survey_date,elev_ft,vdatum_id,vcollect_method_id,bank,approval_id,marker_id,height_above_gnd,hcollect_method_id,peak_summary_id,hwm_notes,hwm_environment,flag_date,stillwater,hdatum_id,flag_member_id,survey_member_id,uncertainty,hwm_uncertainty,hwm_label,last_updated,last_updated_by,horizontal_datums,vertical_collect_methods,horizontal_collect_methods,hwm_types,hwm_qualities,event,peak_summary,survey_member,marker,approval,files,site,vertical_datums,flag_member,Links
29.206914,-83.068865,29.206914,-83.068865,2018 Michael,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sara Hammermeister,Not marked,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLLEV24997,Shell Mound Boat Ramp and Observation Deck,,Gulf of Mexico,FL,Levy County,,Yes,29.206914,-83.068865,34195,Gulf of Mexico,24997,287,5,2,Seed line inside bathroom at boat ramp. LSD considered bathroom floor for this measurement.,10/11/2018 4:00:00 AM,5.64,2,2,N/A,19061,8,1.48,4,12765,,Coastal,10/11/2018 4:00:00 AM,1,4,62,62,0.01,0.05,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.206914,-83.068865,29.206914,-83.068865,2018 Michael,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sara Hammermeister,Not marked,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLLEV24997,Shell Mound Boat Ramp and Observation Deck,,Gulf of Mexico,FL,Levy County,,Yes,29.206914,-83.068865,34196,Gulf of Mexico,24997,287,5,2,Seed line/Debris line on inside of metal bear saver trash can.,10/11/2018 4:00:00 AM,5.62,2,2,N/A,19062,8,1.48,4,12765,,Coastal,10/11/2018 4:00:00 AM,1,4,62,62,0.01,,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.439765,-83.292865,29.439765,-83.292865,2018 Michael,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,Sara Hammermeister,Stake,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLDIX03352,Butler Douglas Memorial Park Boat Ramp,,Gulf of Mexico,FL,Dixie County,0,Yes,29.439765,-83.292865,34197,GULF OF MEXICO,3352,287,5,1,on concrete pad leading to aluminum walkway towards floating dock.,10/11/2018 4:00:00 AM,,2,2,N/A,19078,7,2,4,,"4.348, High water mark is considered secondary occurring after the peak and after rain subsided.",Coastal,10/11/2018 4:00:00 AM,0,4,62,62,0.01,0.05,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.439765,-83.292865,29.439765,-83.292865,2018 Michael,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,Sara Hammermeister,Stake,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLDIX03352,Butler Douglas Memorial Park Boat Ramp,,Gulf of Mexico,FL,Dixie County,0,Yes,29.439765,-83.292865,34198,GULF OF MEXICO,3352,287,5,1,,10/11/2018 4:00:00 AM,,2,2,N/A,19079,7,2,4,,"4.348, High water mark is considered secondary occurring after the peak and after rain subsided.",Coastal,10/11/2018 4:00:00 AM,0,4,62,62,0.01,0.05,HWM2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.13589,-83.03002,29.13589,-83.03002,2018 Michael,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,Sara Hammermeister,,Map (digital or paper),WGS84 (from Digital Map),Windy Brace,Windy Brace,FLLEV03349,Cedar Key,Priority 1 (network or time critical),Gulf of Mexico,FL,Levy County,0,Yes,29.13589,-83.03002,34203,Gulf of Mexico,3349,287,5,1,Seed line on inside wall of bathroom at boat ramp. LSD is considered bathroom floor for this measurement.,10/11/2018 4:00:00 AM,5.66,2,2,N/A,19028,,0.45,4,12763,,Coastal,10/11/2018 4:00:00 AM,1,4,105,105,0.05,,HWM1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.13589,-83.03002,29.13589,-83.03002,2018 Michael,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sara Hammermeister,,Map (digital or paper),WGS84 (from Digital Map),Windy Brace,Windy Brace,FLLEV03349,Cedar Key,Priority 1 (network or time critical),Gulf of Mexico,FL,Levy County,0,Yes,29.13589,-83.03002,34206,Gulf of Mexico,3349,287,5,2,Seed line on back side of sign next to boat ramp.,10/11/2018 4:00:00 AM,5.75,2,2,N/A,19026,,3.28,4,,,Coastal,10/11/2018 4:00:00 AM,0,4,105,105,0.01,0.1,HWM2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.21371,-82.76366,29.21371,-82.76366,2018 Michael,Seed line,Excellent: +/- 0.05 ft,NAVD88,Level Gun,Sara Hammermeister,Marker,Handheld GPS,WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLLEV25006,Wacasassa Park Boat Ramp,,Gulf of Mexico,FL,Levy County,,Yes,29.21371,-82.76366,34231,Waccasassa River,25006,287,5,1,Seed line on second boat ramp walkway handrail support piling on the US side of boat ramp.,10/11/2018 4:00:00 AM,,2,2,N/A,19051,4,4.76,1,12764,3.787-HWM believed to be a secondary peak after the rain subsided.,Riverine,10/11/2018 4:00:00 AM,1,4,62,62,0.01,0.05,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.21371,-82.76366,29.21371,-82.76366,2018 Michael,Seed line,Good: +/- 0.10 ft,NAVD88,Level Gun,Sara Hammermeister,Marker,Handheld GPS,WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLLEV25006,Wacasassa Park Boat Ramp,,Gulf of Mexico,FL,Levy County,,Yes,29.21371,-82.76366,34232,Waccasassa River,25006,287,5,2,Seed line on second boat ramp walkway handrail support piling on the DS side of boat ramp.,10/11/2018 4:00:00 AM,,2,2,N/A,19052,4,4.52,1,,"3.781, believed to be secondary HWM that occurred after the rain subsided.",Riverine,10/11/2018 4:00:00 AM,0,4,62,62,,0.1,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.330347,-83.143337,29.330347,-83.143337,2018 Michael,Vegetation line,Fair: +/- 0.20 ft,NAVD88,Tape measure,Sara Hammermeister,Nail,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLDIX03350,Demory Creek Boat Ramp,,Gulf of Mexico,FL,Dixie County,0,Yes,29.330347,-83.143337,34233,GULF OF MEXICO,3350,287,4,3,AT ELECTRI POLE11492 BLW RM2,10/11/2018 4:00:00 AM,5.53,2,1,N/A,19069,5,,4,12768,Line below RM 2 taped down to mark.,Coastal,10/11/2018 4:00:00 AM,1,4,62,62,0.01,,HWM 1,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
29.330347,-83.143337,29.330347,-83.143337,2018 Michael,Seed line,Fair: +/- 0.20 ft,NAVD88,Level Gun,Sara Hammermeister,Stake,Map (digital or paper),WGS84 (from Digital Map),Sonny Anderson,Sonny Anderson,FLDIX03350,Demory Creek Boat Ramp,,Gulf of Mexico,FL,Dixie County,0,Yes,29.330347,-83.143337,34234,GULF OF MEXICO,3350,287,5,3,SEED LINE ON WOODEN FENCE 40 FT FROM BOAT RAMP,10/11/2018 4:00:00 AM,5.53,2,2,N/A,19070,7,,4,12768,,Coastal,10/14/2018 4:00:00 AM,1,4,62,62,0.01,,HWM 2,,,,,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.file],,,,
