"type1","type2","SVI","population","homeownership_rate","wind_34_50","wind_34_down","wind_50_64","wind_64_up","hwm","node1","node2","node3","node4","wind_exp","wind_dur"
207,83,0.9134,57455,70.03849,1,6,2,0,0,46.3890222076325,27.8268790113085,67.5893819150615,142.61959480418,28.6666666666667,2
32,36,0.768,22697,73.80405,2,6,1,0,0,53.1936442815927,33.4557400894673,55.3503176739862,132.962466904621,27,1
66,41,0.5942,36573,80.53512,3,6,0,0,0,52.5592207753909,40.20279403094,74.2265099437589,149.310794076476,25.3333333333333,0
541,551,0.7623,216416,70.19434,0,7,2,0,0,29.0952570420398,25.0435287534811,92.3498690363475,169.51883384192,25.8888888888889,2
34,63,0.2362,5619,87.04185,0,7,1,1,0,6.66536778685186,20.4016731006568,105.087446335962,182.772367040424,27.5555555555556,2
208,73,0.9733,69725,67.90411,3,6,0,0,0,71.6686956145846,62.129197279757,93.6013411486609,157.44137507207,25.3333333333333,0
87,60,0.8084,32166,78.2544,1,6,0,2,0,31.8130805541767,11.0263198406656,75.0936877465723,152.570253720641,32,2
281,94,0.7766,242004,68.74447,3,6,0,0,0,59.2285446793795,43.9364680785296,72.0792724555608,142.018317120354,25.3333333333333,0
50,66,0.9198,129607,65.09051,3,6,0,0,0,89.0630176842342,68.7189554192337,20.9664980689614,97.3157665447702,25.3333333333333,0
185,52,0.8727,82273,69.07246,3,6,0,0,0,74.4268065942409,55.243803747857,49.1913289413455,118.433650130185,25.3333333333333,0
164,65,0.7896,51604,80.25158,3,6,0,0,0,80.1785154911778,67.2034074695649,82.296157429665,142.940263703005,25.3333333333333,0
197,66,0.8546,57289,76.79689,0,7,2,0,0,40.587282274495,33.6586763970046,93.6102523617991,166.44712839599,25.8888888888889,2
0,0,0.9994,32307,64.38888,3,6,0,0,0,66.4662107479277,45.6709127777631,41.7169612460829,118.278097135657,25.3333333333333,0
0,0,0.9373,39616,71.87049,2,6,1,0,0,95.5523922838144,74.8861700345478,21.9761683064455,90.9433042418346,27,1
0,0,0.7801,48582,55.29379,3,6,0,0,0,78.7769483655976,62.37903423395,53.5418562978437,123.737219759,25.3333333333333,0
37,14,0.9487,45881,69.83172,8,1,0,0,3.58,119.926295016791,116.686455053174,95.4201957739829,80.8386088164281,39.2222222222222,0
15,7,0.9268,66759,70.12158,8,1,0,0,5.33,107.499746259765,103.247131163659,80.0229194923414,63.2176714051181,39.2222222222222,0
106,54,0.9682,30612,64.85093,4,0,5,0,7.725,79.2605567100985,75.5573857475906,54.0692898635024,41.2652023730716,50.3333333333333,5
7,0,0.8987,138277,65.92379,6,2,1,0,5.25,95.3085536141175,89.9130383772705,64.9512780429073,45.645214552961,38.1111111111111,1
15,5,0.6771,62232,75.49261,6,1,2,0,6.86,89.3171488984064,82.0156012633125,57.7123767283102,38.6464617762169,42.5555555555556,2
367,570,0.6102,344105,68.87653,6,0,3,0,5.2,61.9069863359105,55.6946135291177,30.1225204941159,9.89327738382081,47,3
105,114,0.9293,31056,69.78358,6,0,3,0,6.79,78.0824537390018,72.8260512212171,48.1915086078949,30.0574519945033,47,3
55,46,0.9869,26392,64.56947,9,0,0,0,2.91,96.2705294389356,93.2959958261653,73.0903877053275,60.7247173835717,42,0
3,1,0.9443,24470,66.63542,7,2,0,0,5.98,123.097312580334,121.074605857624,102.695786517746,91.3216499136392,36.4444444444444,0
46,25,0.7156,47056,70.3009,2,5,2,0,4.62,90.575602236581,98.2889683570001,117.710312389114,135.570997526461,31.4444444444444,2
133,92,0.9446,33151,71.20935,4,0,3,2,11.42,45.3459312584007,45.1908810679691,37.8338070146095,44.5377841562042,53.6666666666667,5
243,210,0.3583,136880,77.84835,3,1,3,2,10.38,23.1206032008735,16.9048893812819,9.1435253936586,29.8567817959233,50.8888888888889,5
327,196,0.4255,69438,72.96847,3,4,1,1,4.2,68.2328816382869,75.7657369751872,99.9016393142633,120.221614520549,35.8888888888889,2
