"type1","type2","wind_34_down","wind_34_50","wind_50_64","wind_64_up","node1","node2","node3","node4","node5","node6","node7","node8","node9","SVI","population","homeownership_rate","hwm","wind_50_up"
207,83,6,1,2,0,46.3890222076325,27.8268790113085,67.5893819150615,142.61959480418,203.231629683432,259.970959712208,313.82734965176,367.950369675413,423.176567957278,0.9134,57455,70.03849,0,2
32,36,6,2,1,0,53.1936442815927,33.4557400894673,55.3503176739862,132.962466904621,195.525485999353,254.975411522357,310.865334331098,367.002279558079,424.222488649888,0.768,22697,73.80405,0,1
66,41,6,3,0,0,52.5592207753909,40.20279403094,74.2265099437589,149.310794076476,212.069183386765,272.745620345718,329.57917733712,386.688626535304,444.865156810335,0.5942,36573,80.53512,0,0
541,551,7,0,2,0,29.0952570420398,25.0435287534811,92.3498690363475,169.51883384192,232.260176922988,292.11332699745,348.209887150779,404.454819818214,461.667131151503,0.7623,216416,70.19434,0,2
34,63,7,0,1,1,6.66536778685186,20.4016731006568,105.087446335962,182.772367040424,244.994543678539,303.588287190395,358.629069274699,413.729559708022,469.731844951448,0.2362,5619,87.04185,0,2
208,73,6,3,0,0,71.6686956145846,62.129197279757,93.6013411486609,157.44137507207,212.640987861776,264.089019285563,314.106372674822,364.69123672605,416.589694329697,0.9733,69725,67.90411,0,0
87,60,6,1,0,2,31.8130805541767,11.0263198406656,75.0936877465723,152.570253720641,214.548272690598,272.893965727192,327.867370317314,383.012394439348,439.174666196109,0.8084,32166,78.2544,0,2
281,94,6,3,0,0,59.2285446793795,43.9364680785296,72.0792724555608,142.018317120354,200.45081833234,255.050029521254,307.413799985772,360.184254214892,414.162256448117,0.7766,242004,68.74447,0,0
50,66,6,3,0,0,89.0630176842342,68.7189554192337,20.9664980689614,97.3157665447702,160.064018817996,220.14147466125,276.632237534498,333.504754944961,391.587929502927,0.9198,129607,65.09051,0,0
185,52,6,3,0,0,74.4268065942409,55.243803747857,49.1913289413455,118.433650130185,177.515779128782,233.112994840152,286.390094680636,340.144608131433,395.174194000523,0.8727,82273,69.07246,0,0
164,65,6,3,0,0,80.1785154911778,67.2034074695649,82.296157429665,142.940263703005,197.482672493845,248.733389175064,298.818169206688,349.607734289366,401.815727594358,0.7896,51604,80.25158,0,0
197,66,7,0,2,0,40.587282274495,33.6586763970046,93.6102523617991,166.44712839599,225.601522416795,280.544588401646,332.930922410398,385.551897534964,439.235638387261,0.8546,57289,76.79689,0,2
0,0,6,3,0,0,66.4662107479277,45.6709127777631,41.7169612460829,118.278097135657,179.903835034173,238.032268736735,293.031406126345,348.354558110032,404.840389516132,0.9994,32307,64.38888,0,0
