"disasterNumber","county","state","type1","type2","event_title","year"
"4332","Aransas County","TX",814,781,"HURRICANE HARVEY","2017"
"4332","Austin County","TX",25,38,"HURRICANE HARVEY","2017"
"4332","Bastrop County","TX",34,24,"HURRICANE HARVEY","2017"
"4332","Bee County","TX",47,10,"HURRICANE HARVEY","2017"
"4332","Brazoria County","TX",1265,2685,"HURRICANE HARVEY","2017"
"4332","Caldwell County","TX",13,12,"HURRICANE HARVEY","2017"
"4332","Calhoun County","TX",229,91,"HURRICANE HARVEY","2017"
"4332","Chambers County","TX",320,1106,"HURRICANE HARVEY","2017"
"4332","Colorado County","TX",21,60,"HURRICANE HARVEY","2017"
"4332","DeWitt County","TX",31,20,"HURRICANE HARVEY","2017"
"4332","Fayette County","TX",30,168,"HURRICANE HARVEY","2017"
"4332","Fort Bend County","TX",864,3880,"HURRICANE HARVEY","2017"
"4332","Galveston County","TX",1519,4070,"HURRICANE HARVEY","2017"
"4332","Goliad County","TX",56,9,"HURRICANE HARVEY","2017"
"4332","Gonzales County","TX",15,8,"HURRICANE HARVEY","2017"
"4332","Grimes County","TX",24,27,"HURRICANE HARVEY","2017"
"4332","Hardin County","TX",295,1181,"HURRICANE HARVEY","2017"
"4332","Harris County","TX",9736,25019,"HURRICANE HARVEY","2017"
"4332","Jackson County","TX",23,4,"HURRICANE HARVEY","2017"
"4332","Jasper County","TX",150,155,"HURRICANE HARVEY","2017"
"4332","Jefferson County","TX",1339,6394,"HURRICANE HARVEY","2017"
"4332","Karnes County","TX",16,5,"HURRICANE HARVEY","2017"
"4332","Kleberg County","TX",25,3,"HURRICANE HARVEY","2017"
"4332","Lavaca County","TX",8,3,"HURRICANE HARVEY","2017"
"4332","Lee County","TX",12,8,"HURRICANE HARVEY","2017"
"4332","Liberty County","TX",711,1131,"HURRICANE HARVEY","2017"
"4332","Matagorda County","TX",121,122,"HURRICANE HARVEY","2017"
"4332","Montgomery County","TX",686,1304,"HURRICANE HARVEY","2017"
"4332","Newton County","TX",104,149,"HURRICANE HARVEY","2017"
"4332","Nueces County","TX",551,243,"HURRICANE HARVEY","2017"
"4332","Orange County","TX",946,4878,"HURRICANE HARVEY","2017"
"4332","Polk County","TX",93,108,"HURRICANE HARVEY","2017"
"4332","Refugio County","TX",251,134,"HURRICANE HARVEY","2017"
"4332","Sabine County","TX",8,2,"HURRICANE HARVEY","2017"
"4332","San Jacinto County","TX",179,312,"HURRICANE HARVEY","2017"
"4332","San Patricio County","TX",657,305,"HURRICANE HARVEY","2017"
"4332","Tyler County","TX",60,82,"HURRICANE HARVEY","2017"
"4332","Victoria County","TX",526,211,"HURRICANE HARVEY","2017"
"4332","Walker County","TX",69,43,"HURRICANE HARVEY","2017"
"4332","Waller County","TX",98,150,"HURRICANE HARVEY","2017"
"4332","Wharton County","TX",196,549,"HURRICANE HARVEY","2017"
"4337","Alachua County","FL",76,117,"HURRICANE IRMA","2017"
"4337","Baker County","FL",9,31,"HURRICANE IRMA","2017"
"4337","Bradford County","FL",37,122,"HURRICANE IRMA","2017"
"4337","Brevard County","FL",384,518,"HURRICANE IRMA","2017"
"4337","Broward County","FL",793,589,"HURRICANE IRMA","2017"
"4337","Charlotte County","FL",51,78,"HURRICANE IRMA","2017"
"4337","Citrus County","FL",46,46,"HURRICANE IRMA","2017"
"4337","Clay County","FL",68,281,"HURRICANE IRMA","2017"
"4337","Collier County","FL",547,654,"HURRICANE IRMA","2017"
"4337","Columbia County","FL",34,54,"HURRICANE IRMA","2017"
"4337","DeSoto County","FL",40,111,"HURRICANE IRMA","2017"
"4337","Dixie County","FL",20,11,"HURRICANE IRMA","2017"
"4337","Duval County","FL",329,749,"HURRICANE IRMA","2017"
"4337","Flagler County","FL",53,170,"HURRICANE IRMA","2017"
"4337","Gilchrist County","FL",13,6,"HURRICANE IRMA","2017"
"4337","Glades County","FL",24,18,"HURRICANE IRMA","2017"
"4337","Hamilton County","FL",9,0,"HURRICANE IRMA","2017"
"4337","Hardee County","FL",35,82,"HURRICANE IRMA","2017"
"4337","Hendry County","FL",106,98,"HURRICANE IRMA","2017"
"4337","Hernando County","FL",73,90,"HURRICANE IRMA","2017"
"4337","Highlands County","FL",148,167,"HURRICANE IRMA","2017"
"4337","Hillsborough County","FL",271,286,"HURRICANE IRMA","2017"
"4337","Indian River County","FL",49,80,"HURRICANE IRMA","2017"
"4337","Lafayette County","FL",2,3,"HURRICANE IRMA","2017"
"4337","Lake County","FL",154,106,"HURRICANE IRMA","2017"
"4337","Lee County","FL",458,830,"HURRICANE IRMA","2017"
"4337","Levy County","FL",13,11,"HURRICANE IRMA","2017"
"4337","Manatee County","FL",93,96,"HURRICANE IRMA","2017"
"4337","Marion County","FL",178,211,"HURRICANE IRMA","2017"
"4337","Martin County","FL",26,34,"HURRICANE IRMA","2017"
"4337","Miami-Dade County","FL",1903,1218,"HURRICANE IRMA","2017"
"4337","Monroe County","FL",1237,1856,"HURRICANE IRMA","2017"
