County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Baldwin County, Alabama",128533,94105,71380,22725,33.1,7521.975
"Calhoun County, Alabama",53211,44631,32470,12161,8.1,985.041
"Cullman County, Alabama",39465,35131,26688,8443,3.9,329.277
"DeKalb County, Alabama",30774,24979,19663,5316,8,425.28
"Elmore County, Alabama",37081,32108,22990,9118,9.2,838.856
"Etowah County, Alabama",47420,38006,27864,10142,3.8,385.396
"Houston County, Alabama",49737,44058,28246,15812,4.8,758.976
"Jefferson County, Alabama",309206,270147,173994,96153,4.7,4519.191
"Lauderdale County, Alabama",44721,38250,25600,12650,4.6,581.9
"Lee County, Alabama",77656,67358,43635,23723,5,1186.15
"Limestone County, Alabama",43361,40685,30424,10261,1.4,143.654
"Madison County, Alabama",174149,164493,115756,48737,4.3,2095.691
"Marshall County, Alabama",41502,36003,26990,9013,2.8,252.364
"Mobile County, Alabama",185315,162963,104499,58464,3.1,1812.384
"Montgomery County, Alabama",105705,92407,55156,37251,8,2980.08
"Morgan County, Alabama",53545,47558,35056,12502,2.4,300.048
"St. Clair County, Alabama",38511,33093,26306,6787,6.9,468.303
"Shelby County, Alabama",90921,86970,70581,16389,6.9,1130.841
"Talladega County, Alabama",38219,33775,24634,9141,7,639.87
"Tuscaloosa County, Alabama",103062,86694,53547,33147,6.4,2121.408
"Anchorage Municipality, Alaska",119808,109584,69699,39885,7.7,3071.145
"Fairbanks North Star Borough, Alaska",42673,36426,21307,15119,7.4,1118.806
"Matanuska-Susitna Borough, Alaska",51141,40997,32385,8612,4.7,404.764
"Apache County, Arizona",28867,19875,15595,4280,4.9,209.72
"Cochise County, Arizona",59159,49952,36219,13733,5.2,714.116
"Coconino County, Arizona",70055,55145,32274,22871,5.2,1189.292
"Maricopa County, Arizona",1849103,1708034,1124423,583611,4.1,23928.051
"Mohave County, Arizona",119446,102398,75418,26980,0.5,134.9
"Navajo County, Arizona",56796,40087,30131,9956,1.9,189.164
"Pima County, Arizona",474804,433148,279980,153168,4,6126.72
"Pinal County, Arizona",179218,155161,126183,28978,7.4,2144.372
"Yavapai County, Arizona",123886,112075,84686,27389,2.9,794.281
"Yuma County, Arizona",93797,74981,52569,22412,2.9,649.948
"Benton County, Arkansas",118236,106553,72972,33581,7.2,2417.832
"Craighead County, Arkansas",47885,42186,27265,14921,4.7,701.287
"Faulkner County, Arkansas",52696,48497,29945,18552,6.2,1150.224
"Garland County, Arkansas",52479,42077,29204,12873,6.5,836.745
"Jefferson County, Arkansas",30640,24319,15172,9147,3.3,301.851
"Lonoke County, Arkansas",30608,27880,21079,6801,1.8,122.418
"Pulaski County, Arkansas",191961,172100,101202,70898,6.2,4395.676
"Saline County, Arkansas",52445,49768,37987,11781,4.9,577.269
"Sebastian County, Arkansas",57136,51472,32551,18921,10.3,1948.863
"Washington County, Arkansas",103107,94220,56891,37329,5.2,1941.108
"White County, Arkansas",33485,29359,20586,8773,2.3,201.779
"Alameda County, California",629159,589180,321870,267310,6.1,16305.91
"Butte County, California",90309,81353,47543,33810,4.4,1487.64
"Contra Costa County, California",426327,411560,275252,136308,1.9,2589.852
"El Dorado County, California",94178,74909,57191,17718,7.3,1293.414
"Fresno County, California",341732,322646,180062,142584,2.5,3564.6
"Humboldt County, California",62442,55184,31837,23347,2.6,607.022
"Imperial County, California",57101,47849,27644,20205,2.1,424.305
"Kern County, California",303865,282963,168514,114449,3.3,3776.817
"Kings County, California",46761,43143,23267,19876,1.4,278.264
"Lake County, California",34274,27472,18443,9029,2.2,198.638
"Los Angeles County, California",3620201,3375587,1568009,1807578,4.3,77725.854
"Madera County, California",49992,44048,28092,15956,5.7,909.492
