"county","approvedBetween10001And25000","approvedBetween25001AndMax"
"Brevard (County)",144,288
"Charlotte (County)",670,3212
"Collier (County)",1233,1658
"DeSoto (County)",296,907
"Flagler (County)",48,48
"Glades (County)",25,24
"Hardee (County)",166,387
"Hendry (County)",42,36
"Highlands (County)",164,313
"Hillsborough (County)",326,459
"Lake (County)",105,145
"Lee (County)",5632,13726
"Manatee (County)",275,417
"Monroe (County)",87,93
"Okeechobee (County)",48,63
"Orange (County)",808,1751
"Osceola (County)",316,621
"Palm Beach (County)",33,55
"Pasco (County)",50,44
"Pinellas (County)",78,116
"Polk (County)",686,900
"Putnam (County)",61,64
"Sarasota (County)",1004,2908
"Seminole (County)",450,748
"St. Johns (County)",52,63
"Tampa Reservation",0,0
"Volusia (County)",1426,3467
