"n1","n2","n3","n4"
2,3,16,38
1,3,16,46
2,31,46,64
6,9,12,15
11,13,17,19
4,12,15,27
24,25,37,50
16,28,46,48
4,5,17,52
5,13,17,32
5,13,19,35
4,6,27,34
5,10,11,19
15,28,48,52
4,14,48,52
2,8,38,46
5,9,10,32
23,33,34,39
5,13,18,34
3,31,32,45
26,30,40,55
43,49,63,67
47,51,57,59
7,25,35,39
7,24,39,51
21,30,40,55
4,12,33,34
8,14,48,52
40,53,60,62
21,26,40,55
3,20,32,45
10,17,20,45
18,27,34,47
12,19,27,33
11,18,24,39
45,48,52,64
7,25,50,51
1,2,16,46
18,24,25,35
26,29,53,55
44,50,59,61
43,53,55,62
22,49,62,67
41,56,61,66
20,32,36,64
3,8,16,64
23,33,57,58
14,28,36,52
22,43,65,67
37,41,51,59
23,25,50,59
9,15,36,48
29,40,42,55
44,56,63,66
29,40,42,53
44,54,61,63
23,47,58,66
47,54,57,66
23,41,50,51
29,62,65,67
41,44,56,66
29,42,60,67
22,49,54,56
36,45,46,48
49,60,62,67
44,54,57,58
43,60,62,65
