county,state,node1_scale,SVI_scale,population_scale,hwm_scale,wind_50_up_scale
Acadia Parish,LA,1000000,4.053492992,0.14108186,0.00E+00,0
Allen Parish,LA,1000000,3.339268706,0.051222351,1.00E-09,0
Beauregard Parish,LA,1000000,2.485539814,0.087095835,1.00E-09,0
Calcasieu Parish,LA,1000000,3.311269542,0.552042138,1.00E-09,0
Cameron Parish,LA,1000000,0.726995836,0.007070769,1.00E-09,0
Iberia Parish,LA,1000000,4.34772982,0.172803368,1.00E-09,0
Jefferson Davis Parish,LA,1000000,3.53771892,0.075702462,1.00E-09,0
Lafayette Parish,LA,1000000,3.381513058,0.618194538,1.00E-09,0
Rapides Parish,LA,1000000,4.08493065,0.327615701,1.00E-09,0
St. Landry Parish,LA,1000000,3.853569137,0.205243586,1.00E-09,0
St. Martin Parish,LA,1000000,3.445370801,0.125955328,1.00E-09,0
Vermilion Parish,LA,1000000,3.764659512,0.140652702,1.00E-09,0
Evangeline Parish,LA,1000000,4.475936517,0.076066988,1.00E-09,0
Avoyelles Parish,LA,1000000,4.170892995,0.094962872,1.00E-09,0
Vernon Parish,LA,1000000,3.398705527,0.118142582,1.00E-09,0
Chesterfield County,SC,1000000,4.226891323,0.111159714,0.371425947,0
Darlington County,SC,1000000,4.119315588,0.165135398,0.552988909,0
Dillon County,SC,1000000,4.322677936,0.071684921,0.801470792,0
Florence County,SC,1000000,3.981284622,0.350030165,0.544688888,0
Georgetown County,SC,1000000,2.892755724,0.15343179,0.711726813,0
Horry County,SC,1000000,2.564133958,0.882155228,0.539501375,0
Marion County,SC,1000000,4.131595923,0.07283279,0.704464295,0
Marlboro County,SC,1000000,4.414534842,0.060774998,0.30191327,0
Anson County,NC,1000000,4.205277933,0.05580607,0.620426581,0
Beaufort County,NC,1000000,3.081872883,0.114197429,0.479326222,0
Bladen County,NC,1000000,4.206751573,0.078248972,1.184828018,0
Brunswick County,NC,1000000,1.326767399,0.346418515,1.076927743,0
Carteret County,NC,1000000,1.656862805,0.172061389,0.435751111,0
Chatham County,NC,1000000,1.437781628,0.181598524,1.00E-09,0
Columbus County,NC,1000000,4.223944042,0.136852325,0.605901544,0
Craven County,NC,1000000,3.545087121,0.257117429,0.721064337,0
Cumberland County,NC,1000000,3.810833572,0.854557258,0.923377352,0
Duplin County,NC,1000000,4.375728983,0.145052865,1.037502643,0
Durham County,NC,1000000,2.610799231,0.812026653,1.00E-09,0
Greene County,NC,1000000,4.441551579,0.047109155,0.203350519,0
Guilford County,NC,1000000,2.695287936,1.369487558,1.00E-09,0
Harnett County,NC,1000000,3.432108039,0.339841538,0.228250582,0
Hoke County,NC,1000000,3.950338178,0.133946459,1.00E-09,0
Hyde County,NC,1000000,3.804447797,0.005537692,1.00E-09,0
Johnston County,NC,1000000,2.216846083,0.516561619,0.830002115,0
Jones County,NC,1000000,3.870270393,0.017396417,0.679564231,0
Lee County,NC,1000000,3.732730641,0.150784453,1.00E-09,0
Lenoir County,NC,1000000,4.4459725,0.13729441,0.531201354,0
Moore County,NC,1000000,1.345433508,0.2479836,0.500076274,0
New Hanover County,NC,1000000,1.419115519,0.592993131,0.588263999,0
Onslow County,NC,1000000,3.233657824,0.501626398,0.834152125,0
Orange County,NC,1000000,1.020250236,0.375115234,1.00E-09,0
Pamlico County,NC,1000000,3.084820164,0.025203993,0.614201565,0
Pender County,NC,1000000,2.257616795,0.152875953,0.728326856,0
Pitt County,NC,1000000,3.615330638,0.45679747,1.00E-09,0
Richmond County,NC,1000000,4.378676264,0.108592521,0.9026273,0
Robeson County,NC,1000000,4.435165805,0.333502407,0.565438941,0
Sampson County,NC,1000000,4.342817686,0.156309218,1.174452992,0
Scotland County,NC,1000000,4.44744614,0.082385436,0.528088846,0
Union County,NC,1000000,0.486792482,0.602232957,1.00E-09,0
Wayne County,NC,1000000,4.234750737,0.311147404,0.933752379,0
Wilson County,NC,1000000,4.164507221,0.202965946,1.00E-09,0
Aransas County,TX,1000000,2.871142334,0.058189708,0.46687619,0
Austin County,TX,1000000,2.230108845,0.069384013,0.787464506,0
Bastrop County,TX,1000000,3.219903849,0.211220777,0.663897942,0
Bee County,TX,1000000,4.08640429,0.076803795,1.00E-09,0
Brazoria County,TX,1000000,2.114182482,0.928038955,1.229440632,0
Caldwell County,TX,1000000,3.885989222,0.101974178,0.55713892,0
Calhoun County,TX,1000000,3.690486288,0.04867584,0.409813545,0
Chambers County,TX,1000000,0.994707139,0.099236356,0.778126982,0
Colorado County,TX,1000000,2.621114713,0.047587433,0.715876824,0
DeWitt County,TX,1000000,3.490562434,0.044715176,1.00E-09,0
Fayette County,TX,1000000,1.087055259,0.057483923,0.606939047,0
Fort Bend County,TX,1000000,0.9053063,1.977302155,1.253303193,0
Galveston County,TX,1000000,2.364701317,0.857667362,0.677489226,0
Goliad County,TX,1000000,2.793039403,0.012068135,1.00E-09,0
Gonzales County,TX,1000000,4.299099693,0.046168109,0.655701671,0
Grimes County,TX,1000000,3.8265524,0.064815806,1.00E-09,0
Hardin County,TX,1000000,0.63661257,0.140208032,1.478441266,0
Harris County,TX,1000000,3.015067861,12.0347523,0.999115045,0
Jackson County,TX,1000000,2.755707185,0.030821828,1.348753436,0
Jasper County,TX,1000000,3.484176659,0.084448498,0.730401861,0
Jefferson County,TX,1000000,3.769080432,0.654484253,0.815477078,0
Karnes County,TX,1000000,3.855042778,0.032760795,1.00E-09,0
Kleberg County,TX,1000000,4.405201788,0.072046862,1.00E-09,0
Lavaca County,TX,1000000,2.585256134,0.044322212,1.245003171,0
Lee County,TX,1000000,2.57739672,0.036775751,0.4316011,0
Liberty County,TX,1000000,4.163033581,0.20866651,0.933752379,0
Matagorda County,TX,1000000,3.782834408,0.087695622,0.674376718,0
Montgomery County,TX,1000000,1.52767368,1.470334549,0.894327278,0
