state,county,approvedBetween10001And25000,approvedBetween25001AndMax
FL,Brevard (County),1,1
FL,Brevard (County),1,3
FL,Brevard (County),7,23
FL,Brevard (County),19,32
FL,Brevard (County),12,26
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),2,1
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),1,0
FL,Brevard (County),0,1
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,4
FL,Brevard (County),0,0
FL,Brevard (County),1,1
FL,Brevard (County),0,0
FL,Brevard (County),3,1
FL,Brevard (County),2,13
FL,Brevard (County),3,2
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),4,10
FL,Brevard (County),5,23
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),2,0
FL,Brevard (County),1,4
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),5,6
FL,Brevard (County),12,11
FL,Brevard (County),0,0
FL,Brevard (County),3,4
FL,Brevard (County),30,40
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),1,5
FL,Brevard (County),2,4
FL,Brevard (County),0,1
FL,Brevard (County),5,4
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),2,11
FL,Brevard (County),0,0
FL,Brevard (County),0,2
FL,Brevard (County),5,5
FL,Brevard (County),0,0
FL,Brevard (County),1,21
FL,Brevard (County),14,28
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,0
FL,Brevard (County),0,1
FL,Brevard (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),5,7
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),1,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),16,53
FL,Charlotte (County),101,818
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),1,7
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),2,3
FL,Charlotte (County),0,0
FL,Charlotte (County),1,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),9,154
FL,Charlotte (County),1,0
FL,Charlotte (County),0,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),32,157
FL,Charlotte (County),111,510
FL,Charlotte (County),35,149
FL,Charlotte (County),21,48
FL,Charlotte (County),15,52
FL,Charlotte (County),50,279
FL,Charlotte (County),0,0
FL,Charlotte (County),0,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,2
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),79,248
FL,Charlotte (County),44,163
FL,Charlotte (County),28,74
FL,Charlotte (County),74,265
FL,Charlotte (County),21,74
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,1
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),23,142
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Charlotte (County),0,0
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),0,3
FL,Collier (County),0,0
FL,Collier (County),67,98
FL,Collier (County),0,1
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),5,8
FL,Collier (County),0,0
FL,Collier (County),2,2
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),7,10
FL,Collier (County),0,1
FL,Collier (County),0,0
FL,Collier (County),1,0
FL,Collier (County),11,9
FL,Collier (County),0,0
FL,Collier (County),22,21
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),45,54
FL,Collier (County),0,0
FL,Collier (County),1,0
FL,Collier (County),0,0
FL,Collier (County),0,0
FL,Collier (County),162,235
FL,Collier (County),138,138
FL,Collier (County),199,163
FL,Collier (County),6,8
FL,Collier (County),0,0
FL,Collier (County),117,92
FL,Collier (County),2,1
FL,Collier (County),70,136
FL,Collier (County),206,437
FL,Collier (County),75,63
FL,Collier (County),81,161
FL,Collier (County),5,3
