county,state,longitude,latitude,wind_34_down,wind_34_50,wind_50_64,wind_64_up,node1,node2,node3,node4,node5,node6,node7,node8,node9,SVI,population,homeownership_rate,hwm,wind_50_up,wind_dur
Miami-Dade County,FL,-80.5623,25.6149,6,3,0,0,117.734446,113.2877852,128.6428135,167.4539176,199.0407119,247.4533096,292.1683701,363.2906146,467.4876174,0.9118,2662777,54.64916,0,0,0
Broward County,FL,-80.4871,26.1523,6,3,0,0,105.0439143,90.62511819,98.67752741,135.2675296,166.4770021,215.1740276,259.9534297,330.8973196,434.9326184,0.788,1930983,62.95795,0,0,0
Palm Beach County,FL,-80.4655,26.6476,5,4,0,0,98.93464108,74.03967892,71.79693511,105.5989837,136.8038281,186.2702012,231.1309989,301.7094737,405.3278572,0.796,1497987,67.41811,0,0,0
Hillsborough County,FL,-82.3092,27.9292,5,3,1,0,67.88990269,54.55350674,65.75805492,94.90873359,130.5824367,183.2836618,220.7238352,275.5395567,360.6945999,0.8033,1478194,61.42344,0,1,1
Orange County,FL,-81.3235,28.5144,4,3,2,0,115.4433261,81.51691093,50.37625568,38.85509148,68.55439934,120.3223126,158.3769273,216.4359632,307.8349068,0.8103,1422746,57.65876,3.96,2,2
Pinellas County,FL,-82.7256,27.9199,6,3,0,0,71.060479,69.7221299,87.44831347,116.3025037,150.8225025,202.2801928,238.1810184,290.0791184,371.2800398,0.7333,956615,68.41013,0,0,0
Duval County,FL,-81.6708,30.3316,5,3,1,0,214.9037583,188.2798021,161.033219,128.9693197,118.9428723,126.1825847,133.4337742,154.6252809,218.5712204,0.8097,999935,59.16745,0.27,1,1
Lee County,FL,-81.8337,26.5779,6,2,1,0,28.38426265,38.08187393,78.0500369,127.7841058,167.3262319,222.8582915,266.3568732,331.2494452,426.7422148,0.7317,787976,70.2002,12.46,1,1
Polk County,FL,-81.6977,27.9489,4,3,1,1,76.19014934,45.02444714,35.12617822,64.18552747,102.0059074,156.5629541,196.4351198,255.7421166,346.6554316,0.9411,753520,67.46945,1.93,2,2
Brevard County,FL,-80.7323,28.2936,3,3,2,1,122.6613553,83.50882612,40.67675781,9.482721677,49.42785304,105.2671479,147.8968475,212.8565464,311.2026478,0.492,616628,75.9428,0.25,3,3
Volusia County,FL,-81.1819,29.0583,3,5,1,0,148.1891741,115.0489233,81.77656206,50.07459019,57.69079071,98.91078968,131.8979655,185.4119665,274.6154633,0.6623,564412,70.53397,1.33,1,1
Pasco County,FL,-82.3932,28.3091,5,4,0,0,90.86380513,76.19905652,77.80046628,95.03032521,126.143765,175.5374523,210.0659746,260.8754476,342.3238323,0.7673,584067,71.71071,0,0,0
Seminole County,FL,-81.2363,28.717,3,4,2,0,128.3929919,94.4682457,61.56753025,38.62878844,60.86239277,110.0560188,146.7967156,203.7550905,294.8143479,0.3425,470093,67.22327,0,2,2
Sarasota County,FL,-82.3315,27.1845,6,2,1,0,23.17786357,33.78286158,72.64901516,117.5588518,157.0208155,212.4143123,253.1494421,312.6787246,401.9703411,0.4227,447057,75.31487,0,1,1
Manatee County,FL,-82.3153,27.4719,5,3,0,1,40.40329119,36.70247767,66.19408469,106.8343192,145.4330271,200.179883,239.8823939,297.8648253,385.7829579,0.7094,412703,71.05569,0,1,1
Collier County,FL,-81.3475,26.1107,6,3,0,0,65.92208199,68.17302831,96.46644603,143.3135596,180.4024357,233.9161665,278.5714234,346.7752823,446.4986153,0.6502,385980,70.46741,7.14,0,0
Osceola County,FL,-81.1495,28.0626,4,2,2,1,97.62523086,59.57508999,21.95784547,35.47739803,74.90204579,130.5082161,172.2322181,235.1170934,330.5934565,0.8756,403282,64.35978,6.88,3,3
Marion County,FL,-82.0567,29.2102,5,4,0,0,145.4767661,122.3227687,103.9252739,90.89315341,104.5095194,141.1014575,167.6463092,209.9758518,286.3444455,0.8845,385915,73.38245,0,0,0
Lake County,FL,-81.7113,28.7615,4,5,0,0,122.0123241,93.88015649,71.56216351,62.56621441,85.27156644,131.3738868,164.9589549,216.7329783,301.9431516,0.6954,395804,73.72107,2.02,0,0
St. Lucie County,FL,-80.472,27.3772,4,3,1,1,103.8145791,66.47056115,38.69618613,61.86631038,93.65141023,145.1429278,189.9902834,259.5609659,362.1361212,0.7893,343579,73.04901,0,2,2
Escambia County,FL,-87.363,30.669,9,0,0,0,353.9530198,363.607001,373.9733098,379.0628893,393.5246411,418.9012181,428.5823915,433.3706658,445.1353937,0.7642,322390,64.145,0,0,0
Leon County,FL,-84.2779,30.458,9,0,0,0,243.4172651,238.3089456,235.2916693,228.8819812,237.4562286,259.0616497,268.7010679,279.1350726,310.41348,0.6512,292817,55.33899,0,0,0
Alachua County,FL,-82.3577,29.6748,8,1,0,0,172.8615659,152.7939189,135.9962066,120.0383665,127.2155533,154.616157,173.7438048,205.5051711,271.4581344,0.6229,279238,56.87772,0,0,0
St. Johns County,FL,-81.4407,29.9016,4,4,1,0,191.9300564,162.9976944,133.5726146,100.4897686,92.50376922,108.0474409,124.0779109,158.5900356,234.3073698,0.1957,292466,81.88891,6.89,1,1
