County,Total_housing_units,Occupied_housing_units,Owner-occupied,Renter-occupied,Rental_vacancy_rate,Rental_vacancy
"Baldwin County, Alabama",114158,79120,58561,20559,49.2,10115.028
"Calhoun County, Alabama",53786,44507,31093,13414,3.7,496.318
"Cullman County, Alabama",37809,30740,21626,9114,1.8,164.052
"DeKalb County, Alabama",31527,25848,17966,7882,3.8,299.516
"Elmore County, Alabama",34252,29176,21217,7959,4.5,358.155
"Etowah County, Alabama",47751,37091,26504,10587,9.5,1005.765
"Houston County, Alabama",47427,39106,26079,13027,11.1,1445.997
"Jefferson County, Alabama",308822,259324,158826,100498,8.5,8542.33
"Lauderdale County, Alabama",44834,38215,25120,13095,5.9,772.605
"Lee County, Alabama",68921,58555,37210,21345,9.3,1985.085
"Limestone County, Alabama",36249,32816,25969,6847,4.5,308.115
"Madison County, Alabama",161780,147892,96578,51314,6.8,3489.352
"Marshall County, Alabama",40700,34083,23646,10437,3.8,396.606
"Mobile County, Alabama",183912,154683,99401,55282,9.4,5196.508
"Montgomery County, Alabama",104865,88554,51288,37266,10.6,3950.196
"Morgan County, Alabama",52089,45360,32677,12683,8,1014.64
"St. Clair County, Alabama",36983,33241,25362,7879,2.3,181.217
"Shelby County, Alabama",87250,78666,61857,16809,9.8,1647.282
"Talladega County, Alabama",37781,31759,21664,10095,4.4,444.18
"Tuscaloosa County, Alabama",91820,72243,45422,26821,6.2,1662.902
"Walker County, Alabama",31132,25231,19396,5835,1.4,81.69
"Anchorage Municipality, Alaska",117298,107373,62826,44547,6.9,3073.743
"Fairbanks North Star Borough, Alaska",44302,35046,20852,14194,11.9,1689.086
"Matanuska-Susitna Borough, Alaska",41889,29443,22857,6586,8.5,559.81
"Apache County, Arizona",32864,20550,16434,4116,16.4,675.024
"Cochise County, Arizona",61064,48939,34084,14855,8.6,1277.53
"Coconino County, Arizona",66057,47977,29389,18588,6.7,1245.396
"Maricopa County, Arizona",1738201,1536579,963340,573239,5.7,32674.623
"Mohave County, Arizona",114497,87565,61281,26284,5.2,1366.768
"Navajo County, Arizona",57836,36094,23712,12382,4.8,594.336
"Pima County, Arizona",459912,403574,257747,145827,6.2,9041.274
"Pinal County, Arizona",173676,139097,103584,35513,7.6,2698.988
"Yavapai County, Arizona",116534,98369,70096,28273,2.5,706.825
"Yuma County, Arizona",92441,74620,50086,24534,5.8,1422.972
"Benton County, Arkansas",105272,97134,62997,34137,2.7,921.699
"Craighead County, Arkansas",45492,42115,23911,18204,4.3,782.772
"Faulkner County, Arkansas",50101,44870,27587,17283,11.7,2022.111
"Garland County, Arkansas",50977,38594,25805,12789,18.4,2353.176
"Jefferson County, Arkansas",33337,26537,17468,9069,9.1,825.279
"Lonoke County, Arkansas",29377,27121,17995,9126,0.4,36.504
"Pulaski County, Arkansas",184205,156546,91359,65187,13.4,8735.058
"Saline County, Arkansas",48885,44420,34955,9465,9.4,889.71
"Sebastian County, Arkansas",56858,50734,29654,21080,6.9,1454.52
"Washington County, Arkansas",93743,85290,47778,37512,6.5,2438.28
"White County, Arkansas",33821,29067,20551,8516,10.6,902.696
"Alameda County, California",606053,573589,305888,267701,2.7,7227.927
"Butte County, California",99405,88797,51501,37296,7.6,2834.496
"Contra Costa County, California",414055,392046,265782,126264,3.5,4419.24
"El Dorado County, California",90311,69368,53847,15521,3.9,605.319
"Fresno County, California",330958,305819,163288,142531,3.1,4418.461
"Humboldt County, California",63012,53446,31456,21990,4.6,1011.54
"Imperial County, California",57742,44478,27319,17159,0.3,51.477
"Kern County, California",297873,269147,155714,113433,5.3,6011.949
"Kings County, California",46399,43029,23807,19222,2.9,557.438
"Lake County, California",35943,27399,19867,7532,2.6,195.832
"Los Angeles County, California",3542835,3311231,1510464,1800767,3.3,59425.311
"Madera County, California",50582,46282,31813,14469,2.2,318.318
"Marin County, California",113128,104219,66269,37950,3.6,1366.2
"Mendocino County, California",41111,32599,19984,12615,3.1,391.065
"Merced County, California",85267,80969,39490,41479,4.2,1742.118
"Monterey County, California",141653,125518,64356,61162,6.2,3792.044
"Napa County, California",55858,47848,31623,16225,4,649
"Nevada County, California",53869,41638,31528,10110,5.1,515.61
"Orange County, California",1102088,1037312,595020,442292,3,13268.76
"Placer County, California",163927,143659,103066,40593,3.6,1461.348
"Riverside County, California",840273,718733,476441,242292,4.5,10903.14
"Sacramento County, California",569768,543250,306104,237146,2.6,6165.796
"San Bernardino County, California",719259,626223,370696,255527,2.9,7410.283
"San Diego County, California",1214271,1126419,602549,523870,3.5,18335.45
"San Francisco County, California",397566,360323,131576,228747,3.5,8006.145
"San Joaquin County, California",242821,226624,129100,97524,4.4,4291.056
"San Luis Obispo County, California",121918,104544,63104,41440,3.6,1491.84
"San Mateo County, California",278093,264185,156257,107928,3.1,3345.768
"Santa Barbara County, California",157049,147466,75419,72047,1.9,1368.893
"Santa Clara County, California",671151,633811,360277,273534,5.2,14223.768
"Santa Cruz County, California",106329,95940,59685,36255,2,725.1
"Shasta County, California",78846,71968,46439,25529,3.8,970.102
"Solano County, California",157915,151127,89460,61667,3.4,2096.678
"Sonoma County, California",209308,188829,115731,73098,4.3,3143.214
"Stanislaus County, California",181595,173573,99299,74274,1.9,1411.206
"Sutter County, California",34404,31945,19697,12248,5.1,624.648
"Tulare County, California",148986,137576,75528,62048,3.6,2233.728
"Ventura County, California",288778,272085,170923,101162,2.5,2529.05
"Yolo County, California",77948,73495,36886,36609,3.8,1391.142
"Yuba County, California",28604,26228,15224,11004,2,220.08
"Adams County, Colorado",173142,165730,109675,56055,7.3,4092.015
"Arapahoe County, Colorado",251714,240774,153282,87492,4.5,3937.14
"Boulder County, Colorado",135931,128497,78927,49570,3.4,1685.38
"Broomfield County, Colorado",28534,27665,18573,9092,N,0
"Denver County, Colorado",320551,296938,148568,148370,5.2,7715.24
"Douglas County, Colorado",124470,119151,92810,26341,8,2107.28
"El Paso County, Colorado",271817,258158,162673,95485,2.1,2005.185
"Jefferson County, Colorado",241114,231651,165451,66200,3.8,2515.6
"Larimer County, Colorado",148552,134709,89650,45059,4.6,2072.714
"Mesa County, Colorado",66404,61763,42051,19712,1.6,315.392
"Pueblo County, Colorado",71116,65098,40940,24158,2.4,579.792
"Weld County, Colorado",109893,104611,77389,27222,6.2,1687.764
"Fairfield County, Connecticut",373039,336433,224775,111658,7.5,8374.35
"Hartford County, Connecticut",379764,347565,226059,121506,6.7,8140.902
"Litchfield County, Connecticut",88289,73709,56563,17146,8.1,1388.826
"Middlesex County, Connecticut",76332,67227,48060,19167,4.6,881.682
"New Haven County, Connecticut",367217,324837,201500,123337,8.8,10853.656
"New London County, Connecticut",123404,107229,72012,35217,2.8,986.076
"Tolland County, Connecticut",59714,55939,38887,17052,5.2,886.704
"Windham County, Connecticut",49736,43823,30378,13445,4.5,605.025
"Kent County, Delaware",71619,63807,44902,18905,8.2,1550.21
"New Castle County, Delaware",223225,206101,136910,69191,7.9,5466.089
"Sussex County, Delaware",138009,88029,72136,15893,4.6,731.078
"District of Columbia, District of Columbia",314843,281475,118805,162670,5.7,9272.19
"Alachua County, Florida",116975,97714,54797,42917,20.6,8840.902
"Bay County, Florida",102822,70600,43469,27131,21.6,5860.296
"Brevard County, Florida",278139,228385,168369,60016,11.2,6721.792
"Broward County, Florida",823622,685559,426390,259169,8.1,20992.689
"Charlotte County, Florida",103986,76056,61285,14771,12.4,1831.604
"Citrus County, Florida",79496,61290,49885,11405,16.7,1904.635
"Clay County, Florida",80776,73136,55425,17711,3.5,619.885
"Collier County, Florida",214429,144354,105768,38586,10.9,4205.874
"Columbia County, Florida",28958,24335,18313,6022,12.3,740.706
"Duval County, Florida",407446,359607,199958,159649,6.3,10057.887
"Escambia County, Florida",141696,122406,74549,47857,7.9,3780.703
"Flagler County, Florida",51544,42370,32161,10209,3.5,357.315
"Hernando County, Florida",86721,74110,57477,16633,8.7,1447.071
"Highlands County, Florida",55647,42948,30632,12316,9.4,1157.704
"Hillsborough County, Florida",580367,521609,302370,219239,6.3,13812.057
"Indian River County, Florida",80017,58044,45240,12804,24.3,3111.372
"Lake County, Florida",157233,136255,99160,37095,6.4,2374.08
"Lee County, Florida",393259,266266,190244,76022,11.1,8438.442
"Leon County, Florida",129667,115193,63270,51923,7.8,4049.994
"Manatee County, Florida",190954,144329,106771,37558,10.9,4093.822
"Marion County, Florida",168373,140620,108096,32524,9.8,3187.352
"Martin County, Florida",80142,62496,46996,15500,10.9,1689.5
"Miami-Dade County, Florida",1024289,872495,445138,427357,6.7,28632.919
"Monroe County, Florida",53620,31285,17630,13655,21.2,2894.86
"Nassau County, Florida",38922,31837,26230,5607,4.9,274.743
"Okaloosa County, Florida",96918,79011,50350,28661,6.4,1834.304
